university_name,course_name,Annual Tuition Fee*,Course Duration,Course Credits,Delivery Medium,Course Link,Application Fee,Yocketers have applied,Yocketers got admits,Yocketers are interested,GRE,TOEFL,IELTS,Application Link,Tuition Link
university-of-bath,environmental-mining-60708,"£25,000",12 Months,180,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-environmental-engineering/,£60,,,,,,,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUCE-EV01&code2=0003,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-environmental-engineering/#fees-funding
university-of-bath,machine-learning-and-autonomous-systems-74420,"£12,500",24 Months,NA,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-machine-learning-and-autonomous-systems-including-placement-year/,NA,,,,,,,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUCM-ML01&code2=0004,https://www.bath.ac.uk/corporate-information/faculty-of-science-taught-postgraduate-tuition-fees-2021-22/
university-of-bath,management-77732,"£22,000",12 Months,60,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-management/,£60,1,1,,312,,,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUMN-MM03&code2=0015,https://www.bath.ac.uk/corporate-information/school-of-management-taught-postgraduate-tuition-fees-2021-22/
university-of-bath,mba-60710,"£37,500",12 Months,180,On Campus,https://mba.bath.ac.uk/full-time-mba/,£60,,,,,,,https://www.bath.ac.uk/study/pg/applications.pl,https://www.bath.ac.uk/corporate-information/school-of-management-taught-postgraduate-tuition-fees-2021-22/
university-of-bath,economics-53418,"£21,500",12 Months,180,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-economics-full-time/,£60,1,1,,8,,,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUES-EC01&code2=0012,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-economics-full-time/#fees-funding
university-of-bath,architectural-engineering-60706,"£21,500",12 Months,180,On Campus,https://www.bath.ac.uk/courses/postgraduate-2019/taught-postgraduate-courses/msc-architectural-engineering-environmental-design/#course-structure,£60,1,1,1,301,8,,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUAR-AE01&code2=0013,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-architectural-engineering-environmental-design/#fees-funding
university-of-bath,entrepreneurship-and-management-60707,"£22,000",12 Months,180,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-entrepreneurship-and-management/,£60,,,,,,,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUMN-EN01&code2=0008,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-entrepreneurship-and-management/#fees-funding
university-of-bath,human-resource-management-and-consulting-60709,"£22,000",12 Months,180,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-human-resource-management-and-consulting/,£60,,,,,,,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUMN-HR01&code2=0010,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-human-resource-management-and-consulting/#entry-requirements
university-of-bath,software-systems-60711,"£25,000",12 Months,54,On Campus,https://www.bath.ac.uk/courses/postgraduate-2019/taught-postgraduate-courses/msc-software-systems/,NA,1,1,,307,8,,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUCM-SS01&code2=0011,https://www.bath.ac.uk/courses/postgraduate-2019/taught-postgraduate-courses/msc-software-systems/
university-of-bath,sociology-53433,"£19,100",12 Months,180,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/mres-sociology-full-time/,£60,,,,,,,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUXX-MR31&code2=0014,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/mres-sociology-full-time/#fees-funding
university-of-bath,international-development-with-economics-53426,"£19,400",12 Months,30,On Campus,https://www.bath.ac.uk/courses/postgraduate-2020/taught-postgraduate-courses/msc-international-development-with-economics-full-time/#course-structure,£60,,,,,,,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUSP-EC01&code2=0004,https://www.bath.ac.uk/corporate-information/faculty-of-humanities-social-sciences-taught-postgraduate-tuition-fees-2020-21/
university-of-bath,sustainability-and-management-75080,"£22,000",12 Months,36,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-sustainability-and-management/,NA,,,,,,,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUMN-SM01&code2=0011,https://www.bath.ac.uk/corporate-information/school-of-management-taught-postgraduate-tuition-fees-2021-22/
university-of-bath,molecular-biosciences-53413,"£25,000",12 Months,180,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-molecular-biosciences-bioinformatics/,£60,,,,,,,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUBB-MB10&code2=0003,https://www.bath.ac.uk/corporate-information/faculty-of-science-taught-postgraduate-tuition-fees-2021-22/
university-of-bath,international-relations-53428,"£21,500",12 Months,180,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/ma-international-relations-full-time/,£60,,,,,,,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUPL-IR01&code2=0010,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/ma-international-relations-full-time/#fees-funding
university-of-bath,data-science-wif-placement-year-78597,"£29,130",24 Months,NA,On Campus,https://www.bath.ac.uk/courses/postgraduate-2021/taught-postgraduate-courses/msc-data-science-including-placement-year/,NA,,,,,,,https://samis.bath.ac.uk/urd/sits.urd/run/siw_ipp_lgn.login?process=siw_ipp_app&code1=TDUCM-DS04&code2=0004,https://www.bath.ac.uk/corporate-information/faculty-of-science-taught-postgraduate-tuition-fees-2020-21/
audencia-business-school,management-engineering-77161,"€14,667",18 Months,NA,On Campus,https://master.audencia.com/en/programmes-english/master-management-engineering-grande-ecole/,€100,,,,,,,https://apply.audencia.com/index.cfm?FuseAction=Security.LoginWizardStepOne,https://master.audencia.com/en/programmes-english/master-management-engineering-grande-ecole/
audencia-business-school,mba-54982,"€21,500",12 Months,NA,On Campus,http://mba.audencia.com/full-time-mba/,,,,,,,,,
university-of-california-san-diego,computer-science-and-engineering-219,"$26,544 ",24 Months,40,On Campus,https://cse.ucsd.edu/graduate/degree-programs/ms-program,$140 ,"1,188",124,"1,780",324,109,8,https://connect.grad.ucsd.edu/apply/,https://grad.ucsd.edu/financial/tuition-fees.html
university-of-california-san-diego,computer-engineering-1002,"$32,121 ",18 Months,30,On Campus,,$125 ,142,29,626,325,110,,https://apply.grad.ucsd.edu/home,
