Annual Tuition Fee*,Course Duration,Course Credits,Delivery Medium,Course Link,Tuition Link,Application Fee,Application Link
"$19,560",24 Months,33,On Campus,https://academics.pittstate.edu/academic-programs/psychology-and-counseling/psychology-masters-program.html#undefined2,https://admission.pittstate.edu/tuition-and-costs.html#undefined3,$60,https://admission.pittstate.edu/apply.html
"$19,146",24 Months,30,On Campus,https://www.pittstate.edu/registrar/catalog/archive/2020-2021/college-of-technology/graphics-and-imaging-technologies/ms-in-technology.html,https://admission.pittstate.edu/tuition-and-costs.html#undefined2,,
"$19,136",24 Months,30,On Campus,https://www.pittstate.edu/registrar/catalog/archive/2020-2021/college-of-technology/automotive-technology/ms-in-technology-automotive-technology-emphasis.html,https://admission.pittstate.edu/tuition-and-costs.html#undefined2,,
"$19,121",24 Months,73,On Campus,https://www.pittstate.edu/registrar/catalog/archive/2020-2021/college-of-technology/school-of-construction/aas-in-electrical-technology.html,https://admission.pittstate.edu/tuition-and-costs.html#undefined2,,
"$19,121",24 Months,41,On Campus,https://www.pittstate.edu/registrar/catalog/archive/2020-2021/college-of-technology/technology-and-workforce-learning/aas-in-architectural-manufacturing-technology.html,https://admission.pittstate.edu/tuition-and-costs.html#undefined2,,
"$19,121",24 Months,60,On Campus,https://www.pittstate.edu/registrar/catalog/archive/2020-2021/college-of-technology/technology-and-workforce-learning/wood-product-manufacturing-emphasis.html,https://admission.pittstate.edu/tuition-and-costs.html#undefined2,,
"$37,696",24 Months,120,On Campus,https://www.pittstate.edu/registrar/catalog/archive/2020-2021/college-of-technology/school-of-construction/bs-in-interior-design.html,https://www.pittstate.edu/registrar/catalog/archive/2020-2021/college-of-technology/school-of-construction/bs-in-interior-design.html,,
"$19,320",24 Months,NA,On Campus,https://www.pittstate.edu/registrar/catalog/archive/2020-2021/college-of-arts-and-sciences/school-of-nursing/ms-in-nursing.html,https://admission.pittstate.edu/tuition-and-costs.html,,
"$19,560",24 Months,39,On Campus,https://academics.pittstate.edu/academic-programs/mba/accounting-mba-masters-emphasis.html,https://admission.pittstate.edu/tuition-and-costs.html#undefined3,$60,https://admission.pittstate.edu/apply.html
"$17,684",24 Months,NA,On Campus,https://www.pittstate.edu/registrar/catalog/archive/2020-2021/college-of-education/health-human-performance-and-recreation/master-of-science-degree-with-a-major-in-health-human-performance-and-recreation.html,https://admission.pittstate.edu/tuition-and-costs.html#undefined1,,
"$19,136",24 Months,69,On Campus,https://www.pittstate.edu/registrar/catalog/archive/2020-2021/college-of-technology/automotive-technology/aas-in-automotive-service-technology.html,https://admission.pittstate.edu/tuition-and-costs.html#undefined2,,
"$19,560",24 Months,39,On Campus,https://academics.pittstate.edu/academic-programs/mba/business-administration-mba-masters-degree.html,https://admission.pittstate.edu/tuition-and-costs.html#undefined3,$60,https://admission.pittstate.edu/apply.html
